Plot,TreeID,Species,Sector,1992,1994,1997,2009,2019
3,279,Sx,1,Interpolate,43.3,Interpolate,43.5,43.5
3,294,Bl,2,20.5,Interpolate,20.9,22,23.2
3,441,Bl,3,Interpolate,9.1,9.7,11,14
3,459,Sx,3,34.9,Interpolate,35,35.1,Interpolate
5,11,Bl,4,Interpolate,8.6,9.4,13,15.3
6,322,Bl,1,Interpolate,35,36.5,41,44.7
6,219,Bl,2,7.9,8.1,Interpolate,9.2,9.2
6,111,Bl,3,Interpolate,Interpolate,14.8,14.8,DoNotReplace
6,332,Bl,3,21.3,Interpolate,22,24.9,26.3
6,120,Bl,4,26.1,Interpolate,26.4,28.5,30.2
7,416,Bl,1,13.5,Interpolate,14.8,20.4,23.4
7,417,Bl,1,23.3,23.4,Interpolate,27.9,29.8
7,430,Sx,3,11.6,Interpolate,12.9,16.4,20.2
8,198,Bl,4,7.9,8.5,Interpolate,12.9,15.5
9,392,Sx,1,33.8,33.8,Interpolate,34,34
10,607,Bl,3,Interpolate,10.9,11.5,14,16.4
10,624,Bl,4,Interpolate,7,7.4,8.3,8.7
10,626,Sx,4,38.8,Interpolate,40.4,40.4,DoNotReplace
10,630,Bl,4,DoNotReplace,7.9,Interpolate,9.8,11.5
11,655,Sx,3,14.6,15.1,Interpolate,20,22.2
11,657,Bl,3,DoNotReplace,DoNotReplace,Interpolate,6.1,6.3
11,353,Bl,3,DoNotReplace,7.5,Interpolate,11.9,13.9
11,659,Bl,3,DoNotReplace,DoNotReplace,Interpolate,5.7,5.7
11,684,Bl,4,Interpolate,7.9,8,9.1,9.6
12,31,Sx,2,22.4,Interpolate,22.6,25.7,30.2
17,396,Fd,4,56.7,Interpolate,Interpolate,Interpolate,68
20,411,Bl,2,8,Interpolate,8,8.1,8.1
24,76,Bl,1,35.9,Interpolate,37.5,43,45.5
24,93,Bl,4,Interpolate,36.2,37.5,42.6,46.1
