"Plot","TreeID","Species","1992","1994","1997","2019"
"10","394","Sx",28.6,28.5,28.5,30.3
"10","406","Bl",8.5,9.2,9.7,8.4
"11","356","Sx",28.6,28.1,28.1,28.6
"11","669","Bl",24.8,23.8,NA,NA
"12","22","Bl",10.3,10.8,7,15.4
"12","31","Sx",20.3,19.9,19.9,18.3
"12","43","Bl",24.4,24.9,18.7,22.1
"12","46","Sx",23,22.6,22.1,22.8
"12","49","Fd",35.1,36.4,NA,36.1
"12","52","Sx",18.7,17.1,NA,19.1
"12","558","Bl",25.6,24.1,NA,24.4
"13","215","Bl",15.9,19,17.4,21
"13","223","Sx",4.6,4.2,5.2,NA
"14","109","Bl",4.7,5.8,7.3,6.9
"15","837","Bl",NA,24.7,15.3,NA
"15","843","Sx",NA,26.6,27.1,19.5
"16","41","Bl",25.6,NA,NA,22.8
"18","342","Sx",22.6,NA,NA,21.8
"18","346","Sx",23.7,NA,NA,14.1
"20","121","Sx",30.5,30.6,30.8,29.5
"20","358","Sx",17.8,17.5,17.9,21.2
"20","376","Sx",31,30.6,NA,31.9
"24","94","Bl",12.5,13.5,14.4,10
"3","295","Bl",25.3,24.7,24.7,NA
"3","436","Bl",4,3.7,4,8.6
"3","456","Bl",22.6,21.4,21.2,22.1
"3","457","Sx",26.1,26.8,26.3,NA
"3","459","Sx",25.8,24.7,25.1,NA
"4","884","Sx",NA,27.1,26.9,26.6
"5","44","Sx",11.3,11.2,11.3,10.7
"5","54","Bl",19.1,14.9,15.3,17
"6","314","Sx",28.4,28.1,28.6,30.9
"7","376","Sx",13.7,13.6,NA,17.9
"7","380","Sx",8.4,8.2,8.9,15.6
"7","417","Bl",21.7,21.2,NA,19.9
"7","430","Sx",13.1,12.2,NA,14.5
"8","172","Bl",5.6,5.44,NA,NA
"8","173","Bl",10.4,10,NA,15.5
"8","198","Bl",6.3,6.23,NA,12.4
"8","593","Sx",20,19.3,NA,20.2
"9","139","Sx",30.6,29.9,30.9,29.6
"9","797","Bl",8.7,9.6,10,9.5
